Valid pixels(%) > 50,Satellite,Site name,Date,DOY,Site value,h,v,line,samp,c6Doy
GBOV_LP03_L08_BART_20180507_20180507_001_UOS_V3.0_README.TXT,L08,BART,20180507,2018127,1.7207881247997283,12,4,1424.16,2105.61,2018121
GBOV_LP03_L08_BART_20180516_20180516_001_UOS_V3.0_README.TXT,L08,BART,20180516,2018136,2.6206019949913024,12,4,1424.16,2105.61,2018129
GBOV_LP03_L08_BART_20180523_20180523_001_UOS_V3.0_README.TXT,L08,BART,20180523,2018143,3.9492603182792663,12,4,1424.16,2105.61,2018137
GBOV_LP03_L08_BLAN_20180410_20180410_001_UOS_V3.0_README.TXT,L08,BLAN,20180410,2018100,0.9254600030534408,11,5,225.04,2250.38,2018097
GBOV_LP03_L08_BLAN_20180426_20180426_001_UOS_V3.0_README.TXT,L08,BLAN,20180426,2018116,1.1821209680788296,11,5,225.04,2250.38,2018113
GBOV_LP03_L08_BLAN_20180512_20180512_001_UOS_V3.0_README.TXT,L08,BLAN,20180512,2018132,1.4355694398735508,11,5,225.04,2250.38,2018129
GBOV_LP03_L08_BLAN_20180629_20180629_001_UOS_V3.0_README.TXT,L08,BLAN,20180629,2018180,1.7108773783497189,11,5,225.04,2250.38,2018177
GBOV_LP03_L08_BLAN_20180816_20180816_001_UOS_V3.0_README.TXT,L08,BLAN,20180816,2018228,1.8546936991926912,11,5,225.04,2250.38,2018225
GBOV_LP03_L08_BLAN_20180901_20180901_001_UOS_V3.0_README.TXT,L08,BLAN,20180901,2018244,1.6030489032781576,11,5,225.04,2250.38,2018241
GBOV_LP03_L08_CPER_20180526_20180526_001_UOS_V3.0_README.TXT,L08,CPER,20180526,2018146,0.5094502255320549,10,4,2203.77,173.89,2018145
GBOV_LP03_L08_CPER_20180604_20180604_001_UOS_V3.0_README.TXT,L08,CPER,20180604,2018155,0.5682702738046647,10,4,2203.77,173.89,2018153
