,Site,Raw,Spatial,Temporal,Spatial_N,Temporal_N,Improved,BiomeType
0,3.185244219303131,4.542857142857143,4.502857142857144,4.142857142857143,3.54,4.131428571428572,4.2188068519917215,3
1,3.0994462645053864,4.3342857142857145,4.36,4.18,3.4714285714285715,4.177142857142857,4.2530804626083025,3
2,2.840385630130768,4.14,4.128571428571428,4.085714285714285,3.2885714285714287,4.065714285714286,4.060199427173693,3
3,2.594862130880356,3.66,3.6142857142857148,3.9714285714285715,2.902857142857143,3.94,3.889361471481474,3
4,2.927128264904022,4.274285714285714,4.228571428571429,3.8457142857142856,3.3542857142857145,3.774285714285714,3.882307106138459,3
5,2.899863275056033,4.711428571428572,4.668571428571428,3.8057142857142856,3.6714285714285717,3.665714285714286,4.039154527084062,3
6,2.8047261834144592,3.9542857142857146,3.908571428571429,4.051428571428572,3.1257142857142854,3.897142857142857,3.8830918182459166,3
7,0.8874127344049588,1.1222222222222222,1.1972222222222222,1.088888888888889,0.8194444444444444,1.088888888888889,1.0892131219345835,3
8,3.438046001658148,4.502857142857144,4.4,4.325714285714286,3.5,4.357142857142857,4.361948857748278,3
9,3.453388139009476,4.2628571428571425,4.234285714285714,4.34,3.38,4.348571428571429,4.401418298056793,3
10,3.346964302062988,4.171428571428572,4.137142857142857,4.24,3.3085714285714287,4.2457142857142856,4.175581757610757,3
11,3.1791481554508207,4.6085714285714285,4.537142857142857,4.271428571428571,3.5799999999999996,4.257142857142857,4.3220334758500725,3
12,3.072913627624512,4.3342857142857145,4.36,4.18,3.4714285714285715,4.177142857142857,4.2530804626083025,3
13,2.88330792427063,4.274285714285714,4.217142857142857,4.177142857142857,3.3685714285714283,4.168571428571428,4.220943566384969,3
14,2.7741364467144014,4.274285714285714,4.228571428571429,3.8457142857142856,3.3542857142857145,3.774285714285714,3.882307106138459,3
15,2.998459095954895,4.711428571428572,4.668571428571428,3.8057142857142856,3.6714285714285717,3.665714285714286,4.039154527084062,3
16,2.897696032524109,4.188571428571429,4.177142857142857,4.0685714285714285,3.34,4.062857142857142,4.131349385778748,3
17,2.633760989904404,4.157142857142857,4.168571428571428,4.117142857142857,3.34,4.105714285714286,4.094593116318618,3
18,3.6639701628685,4.7942857142857145,4.7457142857142856,4.382857142857143,3.7542857142857144,4.362857142857143,4.454811697988712,3
19,3.471481555700302,4.082857142857143,4.0600000000000005,4.5200000000000005,3.242857142857143,4.514285714285714,4.394142559222495,3
20,3.6747236490249633,4.605714285714286,4.508571428571429,4.24,3.565714285714286,4.24,4.267727223733372,3
21,3.5214618384838103,4.2628571428571425,4.231428571428571,4.277142857142858,3.3714285714285714,4.274285714285714,4.347768782149787,3
22,3.0709048461914064,3.982857142857143,3.951428571428571,4.091428571428571,3.185714285714286,4.085714285714285,4.044357743371561,3
23,0.9023329992683566,1.1111111111111112,1.1666666666666665,1.1166666666666667,0.7805555555555556,1.1305555555555555,1.1063122215631696,3
24,1.2048596016441782,1.5722222222222222,1.6416666666666668,1.3166666666666667,1.136111111111111,1.3111111111111111,1.3942083120344955,3
25,0.7618289583921433,1.113888888888889,1.202777777777778,1.0611111111111111,0.8333333333333334,1.047222222222222,1.070125355356149,3
26,3.577583986520767,4.2628571428571425,4.234285714285714,4.34,3.38,4.348571428571429,4.401418298056793,3
27,3.0895254516601565,3.8285714285714283,3.834285714285714,4.257142857142857,3.0885714285714285,4.2542857142857144,4.127977429303824,3
28,3.269928284883499,4.631428571428572,4.594285714285714,4.2942857142857145,3.6399999999999997,4.288571428571428,4.427072649202588,3
29,3.113020700216293,4.6085714285714285,4.537142857142857,4.271428571428571,3.5799999999999996,4.257142857142857,4.3220334758500725,3
30,2.959546066522598,4.542857142857143,4.502857142857144,4.142857142857143,3.54,4.131428571428572,4.2188068519917215,3
31,2.489506472349167,4.0600000000000005,4.008571428571429,3.9771428571428573,3.225714285714286,3.9628571428571426,3.9277537910499563,3
32,2.585391492843628,3.668571428571428,3.574285714285714,4.148571428571429,2.857142857142857,4.0600000000000005,3.951141598873888,3
33,2.541661446094513,4.711428571428572,4.668571428571428,3.8057142857142856,3.6714285714285717,3.665714285714286,4.039154527084062,3
34,2.798853007555008,4.182857142857143,4.228571428571429,4.071428571428571,3.34,4.017142857142857,3.888139122091269,3
35,3.04991832613945,4.477142857142857,4.4314285714285715,4.122857142857143,3.4857142857142853,4.082857142857143,4.192517165013883,3
36,3.3854879260063173,4.7942857142857145,4.7457142857142856,4.382857142857143,3.7542857142857144,4.362857142857143,4.454811697988712,3
37,3.7973266960394505,4.082857142857143,4.0600000000000005,4.5200000000000005,3.242857142857143,4.514285714285714,4.394142559222495,3
38,3.658497378826141,4.605714285714286,4.508571428571429,4.24,3.565714285714286,4.24,4.267727223733372,3
39,3.333582335710525,4.017142857142857,3.9799999999999995,4.1657142857142855,3.197142857142857,4.168571428571428,3.9927330539639376,3
40,0.8758709484845707,1.1111111111111112,1.1666666666666665,1.1166666666666667,0.7805555555555556,1.1305555555555555,1.1063122215631696,3
41,0.9066368533919256,1.113888888888889,1.202777777777778,1.0611111111111111,0.8333333333333334,1.047222222222222,1.070125355356149,3
