,Site,Raw,Spatial,Temporal,Spatial_N,Temporal_N,Improved
0,2.204520273208618,2.2558823529411764,2.320588235294118,2.4264705882352944,1.311764705882353,2.541176470588235,2.3234723771831685
1,4.835259654521942,4.597058823529411,4.479411764705882,3.5088235294117647,2.4970588235294118,3.5558823529411767,3.570966716941615
2,5.242361989021301,4.858823529411764,4.7176470588235295,3.6823529411764704,2.570588235294118,3.7294117647058824,4.040336856455491
3,4.983907706737519,5.017647058823529,4.791176470588235,3.6705882352941175,2.579411764705882,3.5441176470588234,4.245043387685987
4,4.532385036945343,4.714705882352941,4.56764705882353,4.220588235294118,2.5029411764705882,4.13235294117647,4.245085857602704
5,3.070396279096604,2.123529411764706,2.1323529411764706,2.226470588235294,1.1794117647058824,2.3235294117647056,2.195618594196876
6,4.779975781440735,3.9294117647058826,3.7970588235294116,4.11764705882353,2.0970588235294114,4.076470588235294,4.044786690183832
7,5.30022420167923,4.3617647058823525,4.370588235294117,4.064705882352941,2.3676470588235294,4.002941176470588,4.177598821051125
8,5.423895525932312,4.661764705882353,4.573529411764706,3.879411764705883,2.488235294117647,3.735294117647059,4.077424058654488
9,4.992516560554504,4.752941176470588,4.597058823529411,4.338235294117647,2.4941176470588236,4.229411764705882,4.512981767918915
10,4.869704828262329,5.0323529411764705,4.905882352941177,4.288235294117647,2.6735294117647057,4.202941176470588,4.4361966593350335
11,2.7236821007728578,2.123529411764706,2.1323529411764706,2.226470588235294,1.1794117647058824,2.3235294117647056,2.195618594196876
