,Site,Raw,Spatial,Temporal,Spatial_N,Temporal_N,Improved
0,0.6879960149526596,1.172222222222222,1.1555555555555554,1.3722222222222222,1.0444444444444445,1.3666666666666667,1.31490762677791
1,1.869320365190506,1.972222222222222,1.9194444444444443,1.952777777777778,1.7361111111111112,1.95,1.9492833283844575
2,2.666940859556198,2.536111111111111,2.5166666666666666,2.25,2.275,2.227777777777778,2.3029128040967604
3,2.763822461366653,2.6277777777777778,2.6333333333333333,2.161111111111111,2.386111111111111,2.136111111111111,2.238725305572708
4,1.040467954645253,1.75,1.7055555555555557,1.9055555555555557,1.702777777777778,1.9333333333333331,1.7818380781303134
5,1.0196249210834505,1.8722222222222222,1.847222222222222,1.8694444444444442,1.847222222222222,1.886111111111111,1.820745622293801
6,1.2335147032834062,1.7638888888888888,1.711111111111111,1.95,1.702777777777778,1.963888888888889,1.8354904280729083
7,2.095134717045408,3.827777777777778,3.9416666666666664,3.4916666666666663,3.702777777777778,3.5138888888888884,3.4783082247689614
8,5.237669160366059,5.175,4.941666666666666,3.8305555555555557,2.7777777777777777,3.7305555555555556,4.3618983346266855
9,4.935536482334137,4.575,4.4527777777777775,3.5194444444444444,2.5166666666666666,3.3472222222222223,3.664379575018303
10,4.709726037979126,4.775,4.580555555555556,3.425,2.591666666666667,3.4166666666666665,3.837071999247455
11,3.5803917241096497,4.033333333333333,3.9972222222222222,2.9944444444444445,2.261111111111111,2.986111111111111,3.200394393539424
12,2.6492236077785494,1.6277777777777778,1.6583333333333332,1.6694444444444443,0.9388888888888889,1.6916666666666669,1.6629730719743236
13,1.6106733500957489,0.8333333333333334,0.8388888888888889,0.8388888888888889,0.7472222222222222,0.8388888888888889,0.8339395411317533
14,1.5689761650562286,0.9333333333333333,0.9416666666666667,0.8166666666666667,0.8472222222222221,0.8166666666666667,0.8142243148636436
15,2.275045100450516,1.722222222222222,1.7305555555555556,1.722222222222222,1.5666666666666667,1.722222222222222,1.7134746755775776
16,2.7563194322586058,2.341666666666667,2.333333333333333,2.1055555555555556,2.1166666666666667,2.102777777777778,2.104846706931213
17,2.8853558599948883,2.2694444444444444,2.25,2.2777777777777777,2.036111111111111,2.2694444444444444,2.249410235347143
18,2.933646093606949,2.6277777777777778,2.6333333333333333,2.161111111111111,2.386111111111111,2.136111111111111,2.238725305572708
