,Site,Raw,Spatial,Temporal
0,1.7207881247997283,1.5666666666666667,1.5083333333333333,1.9277777777777778
1,2.6206019949913024,1.775,1.7472222222222222,2.852777777777778
2,3.9492603182792654,4.041666666666666,4.188888888888888,3.191666666666667
3,0.9813139992952348,1.2166666666666666,1.202777777777778,1.05
4,1.8455136454105376,1.4472222222222222,1.4416666666666667,2.2472222222222222
5,2.1720535469055178,1.5666666666666667,1.5083333333333333,1.9277777777777778
6,3.2194327631512203,4.041666666666666,4.188888888888888,3.191666666666667
7,4.821408758163452,4.363888888888889,4.391666666666667,4.955555555555556
8,5.148517293930054,5.575,5.594444444444444,4.766666666666667
9,4.750740346908569,5.15,5.113888888888889,4.152777777777778
10,4.688187944889068,4.291666666666666,4.241666666666666,4.819444444444445
11,4.497509500980377,5.3694444444444445,5.366666666666666,4.622222222222222
12,4.3461113452911375,4.833333333333334,4.677777777777778,4.966666666666667
13,3.409633810520172,3.1194444444444445,3.0388888888888888,2.9194444444444443
14,1.4567440009117127,0.8833333333333334,0.8638888888888889,0.638888888888889
15,1.605945903321971,1.1861111111111111,1.1805555555555556,1.5833333333333335
16,1.9571822107452708,1.4472222222222222,1.4416666666666667,2.2472222222222222
17,5.483364613056183,5.208333333333334,5.266666666666667,5.227777777777778
18,5.661904280185699,5.6,5.430555555555555,5.3277777777777775
19,5.245552506446838,5.563888888888888,5.480555555555556,4.933333333333334
20,5.111259770393372,4.7,4.663888888888889,4.833333333333334
21,4.705632581710815,5.75,5.683333333333334,4.238888888888889
22,4.629342615604401,4.594444444444444,4.441666666666666,4.308333333333334
23,3.858628444671631,4.1305555555555555,4.038888888888889,2.9611111111111112
24,1.707568130493164,0.8972222222222221,0.8861111111111111,1.2583333333333333
25,1.4392619514465332,0.9194444444444445,0.9027777777777779,0.9333333333333333
26,2.672581032514572,1.775,1.7472222222222222,2.852777777777778
27,3.744331459999085,4.041666666666666,4.188888888888888,3.191666666666667
28,5.017772796154023,5.469444444444444,5.338888888888889,4.725
29,3.940068280443232,5.15,5.113888888888889,4.152777777777778
30,2.654184454679489,1.2305555555555556,1.277777777777778,2.3944444444444444
31,1.6911133565400776,1.1861111111111111,1.1805555555555556,1.5833333333333335
32,2.130348368237416,1.6055555555555556,1.6,3.469444444444444
33,3.855516355037689,5.919444444444444,5.777777777777778,3.3138888888888887
34,5.060558128924597,5.208333333333334,5.266666666666667,5.227777777777778
35,5.52786736916273,5.366666666666666,5.125,5.286111111111111
36,5.421200134754181,5.572222222222222,5.15,5.280555555555556
37,5.675416662693023,5.258333333333334,5.147222222222222,5.2972222222222225
38,4.453412279005973,4.594444444444444,4.441666666666666,4.308333333333334
39,3.2601455100859056,4.1305555555555555,4.038888888888889,2.9611111111111112
40,2.6851865176073053,1.9777777777777779,1.8694444444444442,3.0388888888888888
41,1.3143471882800863,0.9583333333333334,0.9527777777777778,0.888888888888889
