,Unnamed: 0,Site,Raw,Spatial,Temporal,Spatial_N,Temporal_N,Improved
0,0,3.185244219303131,4.542857142857143,4.511428571428572,4.14,3.54,4.131428571428572,4.150814173205111
1,1,3.0994462645053864,4.3342857142857145,4.365714285714286,4.18,3.4714285714285715,4.177142857142857,3.8295894163126767
2,2,2.840385630130768,4.14,4.128571428571428,4.082857142857143,3.2885714285714287,4.065714285714286,3.9322384909092336
3,3,2.594862130880356,3.66,3.608571428571429,3.982857142857143,2.902857142857143,3.94,3.804387235295047
4,4,2.927128264904022,4.274285714285714,4.231428571428571,3.8657142857142857,3.3542857142857145,3.774285714285714,3.847482015370953
5,5,2.899863275056033,4.711428571428572,4.671428571428572,3.8457142857142856,3.671428571428572,3.665714285714286,4.011219281305538
6,6,2.8047261834144592,3.954285714285714,3.911428571428572,4.088571428571429,3.125714285714285,3.897142857142857,3.950601004824552
7,7,0.8874127344049588,1.1222222222222222,1.1972222222222222,1.088888888888889,0.8194444444444444,1.088888888888889,1.0815028626613323
8,8,3.438046001658148,4.502857142857144,4.397142857142857,4.328571428571428,3.5,4.357142857142857,4.339375852946325
9,9,3.453388139009476,4.262857142857143,4.231428571428571,4.331428571428572,3.38,4.348571428571429,4.378004201476445
10,10,3.346964302062988,4.171428571428572,4.134285714285714,4.24,3.3085714285714287,4.2457142857142856,4.018265434237152
11,11,3.1791481554508207,4.6085714285714285,4.537142857142857,4.274285714285714,3.58,4.257142857142857,4.284550397708355
12,12,3.072913627624512,4.3342857142857145,4.365714285714286,4.18,3.4714285714285715,4.177142857142857,3.8295894163126767
13,13,2.88330792427063,4.274285714285714,4.214285714285714,4.177142857142857,3.3685714285714283,4.168571428571428,4.100981816829396
14,14,2.7741364467144014,4.274285714285714,4.231428571428571,3.8657142857142857,3.3542857142857145,3.774285714285714,3.847482015370953
15,15,2.998459095954895,4.711428571428572,4.671428571428572,3.8457142857142856,3.671428571428572,3.665714285714286,4.011219281305538
16,16,2.897696032524109,4.188571428571429,4.177142857142857,4.0685714285714285,3.34,4.062857142857142,4.173294971157501
17,17,2.633760989904404,4.157142857142857,4.168571428571428,4.125714285714286,3.34,4.105714285714286,3.856726504785476
18,18,3.6639701628685,4.7942857142857145,4.748571428571429,4.388571428571429,3.7542857142857136,4.362857142857143,4.402957237870876
19,19,3.471481555700302,4.082857142857143,4.057142857142857,4.517142857142857,3.242857142857143,4.514285714285714,4.290035939407579
20,20,3.6747236490249633,4.605714285714286,4.508571428571429,4.24,3.565714285714286,4.24,4.097923306517867
21,21,3.5214618384838103,4.262857142857143,4.228571428571429,4.277142857142858,3.3714285714285714,4.274285714285714,4.215927804044144
22,22,3.0709048461914064,3.982857142857143,3.9457142857142857,4.094285714285714,3.185714285714286,4.085714285714285,3.83049430316532
23,23,0.9023329992683566,1.1111111111111112,1.1666666666666663,1.1166666666666667,0.7805555555555556,1.1305555555555555,1.110283238084237
24,24,1.2048596016441782,1.5722222222222222,1.6388888888888888,1.3166666666666669,1.136111111111111,1.3111111111111111,1.372697995446276
25,25,0.7618289583921433,1.113888888888889,1.202777777777778,1.0611111111111111,0.8333333333333334,1.047222222222222,1.053745283034302
26,26,3.577583986520767,4.262857142857143,4.231428571428571,4.331428571428572,3.38,4.348571428571429,4.378004201476445
27,27,3.0895254516601565,3.828571428571428,3.831428571428572,4.257142857142857,3.0885714285714285,4.254285714285714,4.160493076283418
28,28,3.269928284883499,4.631428571428572,4.594285714285714,4.291428571428571,3.64,4.288571428571428,4.393128870348948
29,29,3.113020700216293,4.6085714285714285,4.537142857142857,4.274285714285714,3.58,4.257142857142857,4.284550397708355
30,30,2.959546066522598,4.542857142857143,4.511428571428572,4.14,3.54,4.131428571428572,4.150814173205111
31,31,2.489506472349167,4.0600000000000005,4.005714285714285,3.98,3.225714285714286,3.962857142857143,3.94162562103723
32,32,2.585391492843628,3.668571428571428,3.5771428571428574,4.171428571428572,2.857142857142857,4.0600000000000005,3.904871429615156
33,33,2.541661446094513,4.711428571428572,4.671428571428572,3.8457142857142856,3.671428571428572,3.665714285714286,4.011219281305538
34,34,2.798853007555008,4.182857142857143,4.231428571428571,4.077142857142857,3.34,4.017142857142857,3.83400559574246
35,35,3.04991832613945,4.477142857142857,4.437142857142858,4.125714285714286,3.4857142857142853,4.082857142857143,4.074234921326768
36,36,3.3854879260063173,4.7942857142857145,4.748571428571429,4.388571428571429,3.7542857142857136,4.362857142857143,4.402957237870876
37,37,3.7973266960394505,4.082857142857143,4.057142857142857,4.517142857142857,3.242857142857143,4.514285714285714,4.290035939407579
38,38,3.658497378826141,4.605714285714286,4.508571428571429,4.24,3.565714285714286,4.24,4.097923306517867
39,39,3.333582335710525,4.017142857142857,3.977142857142857,4.1657142857142855,3.197142857142857,4.168571428571428,3.9813869099189048
40,40,0.8758709484845707,1.1111111111111112,1.1666666666666663,1.1166666666666667,0.7805555555555556,1.1305555555555555,1.110283238084237
41,41,0.9066368533919256,1.113888888888889,1.202777777777778,1.0611111111111111,0.8333333333333334,1.047222222222222,1.053745283034302
0,0,1.1821209680788296,1.222222222222222,1.1888888888888889,1.336111111111111,0.8055555555555556,1.336111111111111,1.275408646035207
1,1,1.4355694398735508,1.8944444444444444,1.8111111111111111,1.5833333333333337,1.3055555555555556,1.597222222222222,1.5838647329778426
2,2,1.8546936991926912,2.4833333333333334,2.5027777777777778,2.272222222222222,1.727777777777778,2.338888888888889,2.27137181943276
3,3,3.244508993625641,3.875,3.894444444444445,3.1083333333333334,2.841666666666667,3.161111111111111,3.193529698520172
4,4,1.3354806715250016,1.161111111111111,1.1583333333333334,1.9361111111111111,1.0611111111111111,2.0027777777777778,1.7095448563249267
5,5,1.4094669041889054,1.8222222222222224,1.7805555555555557,1.7833333333333332,1.288888888888889,1.8111111111111111,1.7766091279093297
6,6,1.590580491643203,2.1194444444444445,2.088888888888889,1.788888888888889,1.4694444444444446,1.7666666666666668,1.8233491079742792
7,7,1.3772054003632588,2.0,2.011111111111111,1.9083333333333328,1.3666666666666667,1.922222222222222,1.9169862020282304
8,8,1.113280060339947,1.6111111111111112,1.5444444444444445,1.6333333333333333,1.1166666666666667,1.613888888888889,1.6028498485792777
9,9,1.046111974985369,1.6166666666666667,1.452777777777778,1.261111111111111,1.1166666666666667,1.2583333333333333,1.2649710273702175
10,10,1.966294556856156,1.3916666666666666,1.3888888888888888,2.155555555555556,0.975,2.238888888888889,1.908330295654492
11,11,3.093873416185379,3.55,3.3777777777777778,2.422222222222222,2.488888888888889,2.533333333333333,2.5282172697747543
12,12,4.916662375926972,4.661111111111111,4.641666666666667,3.919444444444444,3.3805555555555555,3.6222222222222222,4.026838494099782
13,13,4.409886736042646,2.8472222222222223,2.933333333333333,4.475,2.330555555555556,4.461111111111111,3.794390019886226
14,14,3.838773069959698,3.827777777777778,3.838888888888889,3.6416666666666666,2.916666666666667,3.338888888888889,3.68761194695154
15,15,3.815525647997856,3.986111111111112,4.069444444444445,3.8416666666666655,2.975,3.7527777777777778,3.774102765196636
16,16,3.078914247751236,3.655555555555556,3.677777777777778,2.819444444444444,2.694444444444444,2.813888888888889,2.9534366252377096
17,17,3.187769812345505,2.8666666666666667,2.691666666666667,1.8527777777777776,2.011111111111111,1.913888888888889,1.902108191899967
18,18,2.334295071363449,1.913888888888889,1.8833333333333333,2.8583333333333334,1.727777777777778,2.969444444444444,2.5623169987926344
19,19,5.137124552726745,4.433333333333334,4.533333333333333,4.247222222222222,4.155555555555556,4.391666666666667,4.294540780989983
20,20,5.550319893191559,5.005555555555556,4.655555555555556,4.508333333333334,4.575,4.016666666666667,4.6117476664862895
21,21,5.420653473247182,5.625,5.627777777777778,4.336111111111111,5.186111111111112,4.247222222222222,4.669582178981769
22,22,1.0068544331671936,1.8944444444444444,1.8111111111111111,1.5833333333333337,1.3055555555555556,1.597222222222222,1.5838647329778426
23,23,1.308548293819156,1.1416666666666666,1.2333333333333334,2.077777777777778,0.8305555555555555,2.0972222222222223,1.7977163404367875
