,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
67,L08,NIWO,2018162,0.5855663162469864,9,4,2386.47,2203.54,2018161
68,L08,NIWO,2018178,0.7297727231468473,9,4,2386.47,2203.54,2018177
69,L08,NIWO,2018210,0.8317212635278701,9,4,2386.47,2203.54,2018209
70,L08,NIWO,2018242,0.29176130208529927,9,4,2386.47,2203.54,2018241
71,L08,NIWO,2018258,0.024157672530661027,9,4,2386.47,2203.54,2018257
72,L08,ONAQ,2018126,0.5189746311306953,9,4,2356.88,978.91,2018121
73,L08,ONAQ,2018158,0.3996516065299511,9,4,2356.88,978.91,2018153
74,L08,ONAQ,2018165,0.1440259763598442,9,4,2356.88,978.91,2018161
75,L08,ONAQ,2018174,0.38573216885328293,9,4,2356.88,978.91,2018169
76,L08,ONAQ,2018181,0.14903385914862155,9,4,2356.88,978.91,2018177
77,L08,ONAQ,2018197,0.23873209118843078,9,4,2356.88,978.91,2018193
78,L08,ONAQ,2018222,0.41539783015847204,9,4,2356.88,978.91,2018217
79,L08,ONAQ,2018238,0.1843356927107463,9,4,2356.88,978.91,2018233
80,L08,ONAQ,2018245,0.19985418872613656,9,4,2356.88,978.91,2018241
81,L08,ONAQ,2018254,0.04873419529758394,9,4,2356.88,978.91,2018249
82,L08,ONAQ,2018261,0.07196871870580841,9,4,2356.88,978.91,2018257
263,S2A,NIWO,2018207,0.8615109477937222,9,4,2386.47,2203.54,2018201
264,S2A,NIWO,2018227,0.7309541726112365,9,4,2386.47,2203.54,2018225
265,S2A,NIWO,2018257,0.5732553038836979,9,4,2386.47,2203.54,2018257
266,S2A,NIWO,2018267,0.5071404296688216,9,4,2386.47,2203.54,2018265
267,S2A,ONAQ,2018033,0.0908253722720676,9,4,2356.88,978.91,2018033
268,S2A,ONAQ,2018086,0.024158108979463577,9,4,2356.88,978.91,2018081
269,S2A,ONAQ,2018113,0.04897480266854951,9,4,2356.88,978.91,2018113
270,S2A,ONAQ,2018116,0.04482226014806656,9,4,2356.88,978.91,2018113
271,S2A,ONAQ,2018136,0.04845491796731949,9,4,2356.88,978.91,2018129
272,S2A,ONAQ,2018146,0.03578230514432545,9,4,2356.88,978.91,2018145
273,S2A,ONAQ,2018153,0.010601880960166454,9,4,2356.88,978.91,2018153
274,S2A,ONAQ,2018156,0.01789757193854222,9,4,2356.88,978.91,2018153
275,S2A,ONAQ,2018163,0.030301290564239025,9,4,2356.88,978.91,2018161
281,S2A,ONAQ,2018323,0.014055654406547546,9,4,2356.88,978.91,2018321
282,S2A,ONAQ,2018356,0.0,9,4,2356.88,978.91,2018353
565,S2B,NIWO,2018172,0.6523895720490301,9,4,2386.47,2203.54,2018169
566,S2B,NIWO,2018192,0.7841226799041032,9,4,2386.47,2203.54,2018185
567,S2B,NIWO,2018202,0.8069036815955182,9,4,2386.47,2203.54,2018201
568,S2B,NIWO,2018212,0.8265085831284523,9,4,2386.47,2203.54,2018209
569,S2B,NIWO,2018232,0.6977388272532309,9,4,2386.47,2203.54,2018225
570,S2B,NIWO,2018242,0.6125650347558537,9,4,2386.47,2203.54,2018241
571,S2B,NIWO,2018252,0.6184560887375345,9,4,2386.47,2203.54,2018249
576,S2B,ONAQ,2018091,0.019843504453698795,9,4,2356.88,978.91,2018089
577,S2B,ONAQ,2018111,0.04719776725396514,9,4,2356.88,978.91,2018105
578,S2B,ONAQ,2018118,0.04107402840798551,9,4,2356.88,978.91,2018113
579,S2B,ONAQ,2018128,0.040887490338222546,9,4,2356.88,978.91,2018121
580,S2B,ONAQ,2018138,0.05150268224815091,9,4,2356.88,978.91,2018137
