,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
0,L08,BART,2018127,1.7207881247997283,12,4,1424.16,2105.61,2018121
1,L08,BART,2018136,2.6206019949913024,12,4,1424.16,2105.61,2018129
12,L08,HARV,2018111,0.9813139992952348,12,4,1790.43,1636.72,2018105
13,L08,HARV,2018127,1.8455136454105376,12,4,1790.43,1636.72,2018121
43,S2A,BART,2018128,2.1720535469055178,12,4,1424.16,2105.61,2018121
44,S2A,BART,2018168,4.821408758163452,12,4,1424.16,2105.61,2018161
45,S2A,BART,2018188,5.148517293930054,12,4,1424.16,2105.61,2018185
46,S2A,BART,2018218,4.750740346908569,12,4,1424.16,2105.61,2018217
47,S2A,BART,2018228,4.688187944889068,12,4,1424.16,2105.61,2018225
48,S2A,BART,2018238,4.497509500980377,12,4,1424.16,2105.61,2018233
49,S2A,BART,2018248,4.3461113452911375,12,4,1424.16,2105.61,2018241
50,S2A,BART,2018278,3.409633810520172,12,4,1424.16,2105.61,2018273
79,S2A,HARV,2018058,1.4567440009117127,12,4,1790.43,1636.72,2018057
80,S2A,HARV,2018168,5.483364613056183,12,4,1790.43,1636.72,2018161
81,S2A,HARV,2018188,5.661904280185699,12,4,1790.43,1636.72,2018185
82,S2A,HARV,2018208,5.245552506446838,12,4,1790.43,1636.72,2018201
83,S2A,HARV,2018218,5.111259770393372,12,4,1790.43,1636.72,2018217
84,S2A,HARV,2018238,4.705632581710815,12,4,1790.43,1636.72,2018233
85,S2A,HARV,2018248,4.629342615604401,12,4,1790.43,1636.72,2018241
86,S2A,HARV,2018278,3.858628444671631,12,4,1790.43,1636.72,2018273
173,S2B,BART,2018133,2.672581032514572,12,4,1424.16,2105.61,2018129
174,S2B,BART,2018143,3.744331459999085,12,4,1424.16,2105.61,2018137
175,S2B,BART,2018173,5.017772796154023,12,4,1424.16,2105.61,2018169
202,S2B,HARV,2018143,3.855516355037689,12,4,1790.43,1636.72,2018137
203,S2B,HARV,2018183,5.421200134754181,12,4,1790.43,1636.72,2018177
204,S2B,HARV,2018193,5.675416662693023,12,4,1790.43,1636.72,2018193
