,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
3,L08,BLAN,2018100,0.9254600030534408,11,5,225.04,2250.38,2018097
4,L08,BLAN,2018116,1.1821209680788296,11,5,225.04,2250.38,2018113
5,L08,BLAN,2018132,1.4355694398735508,11,5,225.04,2250.38,2018129
6,L08,BLAN,2018180,1.7108773783497189,11,5,225.04,2250.38,2018177
7,L08,BLAN,2018228,1.8546936991926912,11,5,225.04,2250.38,2018225
8,L08,BLAN,2018244,1.6030489032781576,11,5,225.04,2250.38,2018241
83,L08,ORNL,2018121,3.244508993625641,11,5,968.11,427.4,2018121
84,L08,ORNL,2018217,3.687030202334689,11,5,968.11,427.4,2018217
90,L08,SCBI,2018116,1.3354806715250016,11,5,265.2,2203.28,2018113
91,L08,SCBI,2018132,3.898806177004419,11,5,265.2,2203.28,2018129
132,S2A,BLAN,2018044,0.4538613919700895,11,5,225.04,2250.38,2018041
133,S2A,BLAN,2018064,0.4087348127634161,11,5,225.04,2250.38,2018057
134,S2A,BLAN,2018104,0.5405656723193375,11,5,225.04,2250.38,2018097
135,S2A,BLAN,2018124,0.8151435631543699,11,5,225.04,2250.38,2018121
136,S2A,BLAN,2018134,1.1807352667556534,11,5,225.04,2250.38,2018129
137,S2A,BLAN,2018144,1.4094669041889054,11,5,225.04,2250.38,2018137
138,S2A,BLAN,2018184,1.590580491643203,11,5,225.04,2250.38,2018177
139,S2A,BLAN,2018194,1.3772054003632588,11,5,225.04,2250.38,2018193
140,S2A,BLAN,2018264,1.113280060339947,11,5,225.04,2250.38,2018257
141,S2A,BLAN,2018274,1.046111974985369,11,5,225.04,2250.38,2018273
142,S2A,BLAN,2018314,0.39789091691535006,11,5,225.04,2250.38,2018313
283,S2A,ORNL,2018010,0.7385684104526744,11,5,968.11,427.4,2018009
284,S2A,ORNL,2018040,0.7566666331556108,11,5,968.11,427.4,2018033
285,S2A,ORNL,2018090,1.2495274201352546,11,5,968.11,427.4,2018089
286,S2A,ORNL,2018110,1.9662945568561554,11,5,968.11,427.4,2018105
287,S2A,ORNL,2018120,3.093873416185379,11,5,968.11,427.4,2018113
288,S2A,ORNL,2018160,4.916662375926972,11,5,968.11,427.4,2018153
289,S2A,ORNL,2018180,4.409886736042646,11,5,968.11,427.4,2018177
