,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
14,L08,JERC,2018073,0.6879960149526596,10,5,2112.74,1858.18,2018073
15,L08,JERC,2018098,1.869320365190506,10,5,2112.74,1858.18,2018097
16,L08,JERC,2018121,2.666940859556198,10,5,2112.74,1858.18,2018121
17,L08,JERC,2018130,2.763822461366653,10,5,2112.74,1858.18,2018129
18,L08,KONA,2018168,1.040467954645253,10,5,212.99,1207.9,2018161
19,L08,KONA,2018184,1.0196249210834505,10,5,212.99,1207.9,2018177
20,L08,KONA,2018200,1.2335147032834062,10,5,212.99,1207.9,2018193
35,L08,TALL,2018103,2.095134717045408,10,5,1691.39,1599.03,2018097
56,S2A,DELA,2018133,5.237669160366059,10,5,1789.49,1435.02,2018129
57,S2A,DELA,2018153,4.935536482334137,10,5,1789.49,1435.02,2018153
58,S2A,DELA,2018193,4.709726037979126,10,5,1789.49,1435.02,2018193
59,S2A,DELA,2018263,3.5803917241096497,10,5,1789.49,1435.02,2018257
60,S2A,DELA,2018303,2.6492236077785494,10,5,1789.49,1435.02,2018297
87,S2A,JERC,2018030,1.6106733500957489,10,5,2112.74,1858.18,2018025
88,S2A,JERC,2018037,1.5689761650562286,10,5,2112.74,1858.18,2018033
89,S2A,JERC,2018090,2.275045100450516,10,5,2112.74,1858.18,2018089
90,S2A,JERC,2018110,2.7563194322586058,10,5,2112.74,1858.18,2018105
91,S2A,JERC,2018120,2.8853558599948883,10,5,2112.74,1858.18,2018113
92,S2A,JERC,2018130,2.933646093606949,10,5,2112.74,1858.18,2018129
93,S2A,JERC,2018177,3.1172450708620474,10,5,2112.74,1858.18,2018177
94,S2A,JERC,2018180,3.289143315553665,10,5,2112.74,1858.18,2018177
95,S2A,JERC,2018217,3.4644010722637177,10,5,2112.74,1858.18,2018217
96,S2A,JERC,2018220,3.637615556716919,10,5,2112.74,1858.18,2018217
97,S2A,JERC,2018257,3.368685195446014,10,5,2112.74,1858.18,2018257
98,S2A,JERC,2018260,3.180149431228638,10,5,2112.74,1858.18,2018257
99,S2A,JERC,2018267,3.136606265306473,10,5,2112.74,1858.18,2018265
100,S2A,JERC,2018277,2.766068291907408,10,5,2112.74,1858.18,2018273
101,S2A,JERC,2018287,2.4014127397537237,10,5,2112.74,1858.18,2018281
102,S2A,JERC,2018297,2.075507011413574,10,5,2112.74,1858.18,2018297
103,S2A,JERC,2018307,2.1621900260448457,10,5,2112.74,1858.18,2018305
104,S2A,JERC,2018320,2.024711234569549,10,5,2112.74,1858.18,2018313
105,S2A,JERC,2018357,1.4745148456096648,10,5,2112.74,1858.18,2018353
106,S2A,JERC,2018360,1.5197360056638718,10,5,2112.74,1858.18,2018353
107,S2A,KONA,2018205,1.0747500231391505,10,5,212.99,1207.9,2018201
108,S2A,KONA,2018215,1.027930368292839,10,5,212.99,1207.9,2018209
109,S2A,KONA,2018265,1.121429311245987,10,5,212.99,1207.9,2018265
155,S2A,TALL,2018003,1.5473949867486954,10,5,1691.39,1599.03,2018001
156,S2A,TALL,2018063,1.8331047308444977,10,5,1691.39,1599.03,2018057
157,S2A,TALL,2018073,1.863358359336853,10,5,1691.39,1599.03,2018073
158,S2A,TALL,2018103,2.5526482605934144,10,5,1691.39,1599.03,2018097
159,S2A,TALL,2018133,3.868293917179108,10,5,1691.39,1599.03,2018129
160,S2A,TALL,2018163,3.60188249626545,10,5,1691.39,1599.03,2018161
161,S2A,TALL,2018203,3.7077300741214954,10,5,1691.39,1599.03,2018201
162,S2A,TALL,2018263,3.47008602142334,10,5,1691.39,1599.03,2018257
163,S2A,TALL,2018303,2.820071465969085,10,5,1691.39,1599.03,2018297
182,S2B,DELA,2018098,3.397950749397278,10,5,1789.49,1435.02,2018097
183,S2B,DELA,2018128,5.105046741962433,10,5,1789.49,1435.02,2018121
184,S2B,DELA,2018158,5.068336877822876,10,5,1789.49,1435.02,2018153
185,S2B,DELA,2018258,3.842151067256928,10,5,1789.49,1435.02,2018257
186,S2B,DELA,2018308,2.542217073440552,10,5,1789.49,1435.02,2018305
205,S2B,JERC,2018002,1.5473091703653337,10,5,2112.74,1858.18,2018001
206,S2B,JERC,2018055,1.5647622829675674,10,5,2112.74,1858.18,2018049
207,S2B,JERC,2018062,1.748815405368805,10,5,2112.74,1858.18,2018057
208,S2B,JERC,2018072,1.6597662961483002,10,5,2112.74,1858.18,2018065
209,S2B,JERC,2018075,1.7416233539581298,10,5,2112.74,1858.18,2018073
210,S2B,JERC,2018095,2.395752656459808,10,5,2112.74,1858.18,2018089
211,S2B,JERC,2018102,2.246752599064185,10,5,2112.74,1858.18,2018097
212,S2B,JERC,2018122,2.802144619226456,10,5,2112.74,1858.18,2018121
213,S2B,JERC,2018132,2.798558170795441,10,5,2112.74,1858.18,2018129
214,S2B,JERC,2018155,3.348171029090881,10,5,2112.74,1858.18,2018153
215,S2B,JERC,2018225,3.689229788780212,10,5,2112.74,1858.18,2018225
216,S2B,JERC,2018235,3.667497861385345,10,5,2112.74,1858.18,2018233
217,S2B,JERC,2018252,3.2627315509198893,10,5,2112.74,1858.18,2018249
218,S2B,JERC,2018262,3.2783526301383974,10,5,2112.74,1858.18,2018257
219,S2B,JERC,2018265,3.0484000623226164,10,5,2112.74,1858.18,2018265
220,S2B,JERC,2018272,2.9238924530087687,10,5,2112.74,1858.18,2018265
221,S2B,JERC,2018285,2.609497230052948,10,5,2112.74,1858.18,2018281
222,S2B,JERC,2018292,2.212315913438797,10,5,2112.74,1858.18,2018289
223,S2B,JERC,2018295,2.2623361277580263,10,5,2112.74,1858.18,2018289
224,S2B,JERC,2018302,2.109099702835083,10,5,2112.74,1858.18,2018297
225,S2B,JERC,2018322,1.855048370361328,10,5,2112.74,1858.18,2018321
226,S2B,JERC,2018325,1.8824486243724825,10,5,2112.74,1858.18,2018321
227,S2B,JERC,2018332,1.728393247127533,10,5,2112.74,1858.18,2018329
228,S2B,JERC,2018352,1.5216925203800202,10,5,2112.74,1858.18,2018345
229,S2B,KONA,2018150,1.1216025008605075,10,5,212.99,1207.9,2018145
230,S2B,KONA,2018200,1.0114137692020295,10,5,212.99,1207.9,2018193
231,S2B,KONA,2018220,1.0771801120705076,10,5,212.99,1207.9,2018217
232,S2B,KONA,2018270,0.9335382167370088,10,5,212.99,1207.9,2018265
233,S2B,KONA,2018290,0.5307057058438659,10,5,212.99,1207.9,2018289
283,S2B,TALL,2018018,1.5929839718341827,10,5,1691.39,1599.03,2018017
284,S2B,TALL,2018058,1.837686024904251,10,5,1691.39,1599.03,2018057
285,S2B,TALL,2018098,2.338911417722702,10,5,1691.39,1599.03,2018097
286,S2B,TALL,2018118,3.3652669548988343,10,5,1691.39,1599.03,2018113
287,S2B,TALL,2018128,3.82901894569397,10,5,1691.39,1599.03,2018121
288,S2B,TALL,2018158,3.920238451957703,10,5,1691.39,1599.03,2018153
289,S2B,TALL,2018238,3.769262166023255,10,5,1691.39,1599.03,2018233
290,S2B,TALL,2018258,3.6155793046951294,10,5,1691.39,1599.03,2018257
291,S2B,TALL,2018308,2.7027977013587954,10,5,1691.39,1599.03,2018305
292,S2B,TALL,2018358,1.7173417788743972,10,5,1691.39,1599.03,2018353
