,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
29,L08,SRER,2018240,0.54930032402277,8,5,1940.94,1419.03,2018233
30,L08,SRER,2018272,0.3517588920107013,8,5,1940.94,1419.03,2018265
142,S2A,SRER,2018240,0.0199978904565796,8,5,1940.94,1419.03,2018233
143,S2A,SRER,2018250,0.0266873737176259,8,5,1940.94,1419.03,2018249
144,S2A,SRER,2018290,0.0562487651333613,8,5,1940.94,1419.03,2018289
145,S2A,SRER,2018300,0.0534289143142405,8,5,1940.94,1419.03,2018297
146,S2A,SRER,2018310,0.0496249271599554,8,5,1940.94,1419.03,2018305
267,S2B,SRER,2018255,0.0161152719520032,8,5,1940.94,1419.03,2018249
268,S2B,SRER,2018265,0.0154505016353841,8,5,1940.94,1419.03,2018265
269,S2B,SRER,2018315,0.0409575878197688,8,5,1940.94,1419.03,2018313
270,S2B,SRER,2018325,0.0253670164143088,8,5,1940.94,1419.03,2018321
271,S2B,SRER,2018335,0.0226502422657277,8,5,1940.94,1419.03,2018329
