,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
99,L08,STEI,2018124,1.0945725068449974,11,4,1077.35,1731.83,2018121
100,L08,STEI,2018140,2.2046951305866243,11,4,1077.35,1731.83,2018137
101,L08,STEI,2018147,3.5522427712717364,11,4,1077.35,1731.83,2018145
102,L08,STEI,2018204,3.9254065960952915,11,4,1077.35,1731.83,2018201
103,L08,STEI,2018227,3.526970280541314,11,4,1077.35,1731.83,2018225
112,L08,UNDE,2018131,1.4742737218089725,11,4,903.35,1935.23,2018129
113,L08,UNDE,2018140,1.7174809118922876,11,4,903.35,1935.23,2018137
114,L08,WOOD,2018141,0.4492521958053112,11,4,688.72,594.74,2018137
115,L08,WOOD,2018157,0.7756714332103729,11,4,688.72,594.74,2018153
116,L08,WOOD,2018164,1.0928086864948272,11,4,688.72,594.74,2018161
117,L08,WOOD,2018196,1.1215233474969863,11,4,688.72,594.74,2018193
118,L08,WOOD,2018205,0.769236778318882,11,4,688.72,594.74,2018201
119,L08,WOOD,2018212,0.9209054803848267,11,4,688.72,594.74,2018209
120,L08,WOOD,2018221,0.5345574703812599,11,4,688.72,594.74,2018217
121,L08,WOOD,2018228,0.49425565838813784,11,4,688.72,594.74,2018225
122,L08,WOOD,2018244,0.10210082107674211,11,4,688.72,594.74,2018241
354,S2A,STEI,2018119,1.6256669849157332,11,4,1077.35,1731.83,2018113
355,S2A,STEI,2018132,1.6661301004886626,11,4,1077.35,1731.83,2018129
356,S2A,STEI,2018142,2.6963336819096617,11,4,1077.35,1731.83,2018137
357,S2A,STEI,2018149,3.910251511335373,11,4,1077.35,1731.83,2018145
358,S2A,STEI,2018152,3.3528565227985383,11,4,1077.35,1731.83,2018145
359,S2A,STEI,2018179,4.836258819103241,11,4,1077.35,1731.83,2018177
360,S2A,STEI,2018189,4.734860261678696,11,4,1077.35,1731.83,2018185
361,S2A,STEI,2018199,4.667334997292721,11,4,1077.35,1731.83,2018193
362,S2A,STEI,2018212,4.612972523303742,11,4,1077.35,1731.83,2018209
