,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
14,L08,DSNY,2018068,0.8051599736015002,10,6,449.49,1962.62,2018065
15,L08,DSNY,2018084,1.6721970078845818,10,6,449.49,1962.62,2018081
16,L08,DSNY,2018116,2.579560546392805,10,6,449.49,1962.62,2018113
17,L08,DSNY,2018164,3.078182436954016,10,6,449.49,1962.62,2018161
18,L08,DSNY,2018276,1.7780235070931285,10,6,449.49,1962.62,2018273
19,L08,DSNY,2018292,1.1294940089763597,10,6,449.49,1962.62,2018289
85,L08,OSBS,2018075,1.0155845656991005,10,6,77.22,2099.01,2018073
86,L08,OSBS,2018107,2.260633402941178,10,6,77.22,2099.01,2018105
87,L08,OSBS,2018116,2.354707604393046,10,6,77.22,2099.01,2018113
88,L08,OSBS,2018132,2.753553691536489,10,6,77.22,2099.01,2018129
89,L08,OSBS,2018187,2.4758354984223843,10,6,77.22,2099.01,2018185
157,S2A,DSNY,2018004,1.7851845161202027,10,6,449.49,1962.62,2018001
158,S2A,DSNY,2018024,1.4901201466924137,10,6,449.49,1962.62,2018017
159,S2A,DSNY,2018064,1.9274732105585994,10,6,449.49,1962.62,2018057
160,S2A,DSNY,2018074,2.0488778243259507,10,6,449.49,1962.62,2018073
161,S2A,DSNY,2018084,2.0426300873561782,10,6,449.49,1962.62,2018081
162,S2A,DSNY,2018094,2.1822099868132145,10,6,449.49,1962.62,2018089
163,S2A,DSNY,2018114,2.272042158915072,10,6,449.49,1962.62,2018113
164,S2A,DSNY,2018124,2.0431527354053616,10,6,449.49,1962.62,2018121
165,S2A,DSNY,2018144,2.4737894413422565,10,6,449.49,1962.62,2018137
166,S2A,DSNY,2018154,2.5256471486435723,10,6,449.49,1962.62,2018153
167,S2A,DSNY,2018164,2.7799678444862366,10,6,449.49,1962.62,2018161
168,S2A,DSNY,2018174,2.773579008725225,10,6,449.49,1962.62,2018169
169,S2A,DSNY,2018184,2.745341505855322,10,6,449.49,1962.62,2018177
170,S2A,DSNY,2018194,2.7882748221864504,10,6,449.49,1962.62,2018193
171,S2A,DSNY,2018204,3.091236247091877,10,6,449.49,1962.62,2018201
172,S2A,DSNY,2018224,2.7264923011102984,10,6,449.49,1962.62,2018217
173,S2A,DSNY,2018234,2.7876086831092834,10,6,449.49,1962.62,2018233
174,S2A,DSNY,2018244,2.6187270603681867,10,6,449.49,1962.62,2018241
175,S2A,DSNY,2018304,2.008564987961127,10,6,449.49,1962.62,2018297
298,S2A,OSBS,2018004,1.794666005373001,10,6,77.22,2099.01,2018001
299,S2A,OSBS,2018024,1.6412355971336365,10,6,77.22,2099.01,2018017
300,S2A,OSBS,2018064,1.6223275130987167,10,6,77.22,2099.01,2018057
301,S2A,OSBS,2018074,1.7548892456293106,10,6,77.22,2099.01,2018073
302,S2A,OSBS,2018114,2.1998928010463716,10,6,77.22,2099.01,2018113
303,S2A,OSBS,2018124,2.235499559640884,10,6,77.22,2099.01,2018121
304,S2A,OSBS,2018164,2.086752114873944,10,6,77.22,2099.01,2018161
305,S2A,OSBS,2018174,2.0236881670263624,10,6,77.22,2099.01,2018169
306,S2A,OSBS,2018184,2.2341826021671296,10,6,77.22,2099.01,2018177
307,S2A,OSBS,2018194,2.1704157996177673,10,6,77.22,2099.01,2018193
308,S2A,OSBS,2018214,2.259076678752899,10,6,77.22,2099.01,2018209
309,S2A,OSBS,2018224,2.098100112832111,10,6,77.22,2099.01,2018217
310,S2A,OSBS,2018264,2.272377370595932,10,6,77.22,2099.01,2018257
311,S2A,OSBS,2018284,2.243878712654114,10,6,77.22,2099.01,2018281
312,S2A,OSBS,2018294,2.192036437988281,10,6,77.22,2099.01,2018289
313,S2A,OSBS,2018304,2.1125790202617645,10,6,77.22,2099.01,2018297
314,S2A,OSBS,2018334,1.777412829399109,10,6,77.22,2099.01,2018329
456,S2B,DSNY,2018049,1.6502263410804199,10,6,449.49,1962.62,2018049
457,S2B,DSNY,2018059,1.6298084965686208,10,6,449.49,1962.62,2018057
458,S2B,DSNY,2018109,2.226410066594883,10,6,449.49,1962.62,2018105
459,S2B,DSNY,2018119,2.292631228359378,10,6,449.49,1962.62,2018113
460,S2B,DSNY,2018129,2.303818396159581,10,6,449.49,1962.62,2018129
461,S2B,DSNY,2018159,2.916737366695793,10,6,449.49,1962.62,2018153
462,S2B,DSNY,2018169,2.6326861774667782,10,6,449.49,1962.62,2018169
463,S2B,DSNY,2018179,2.7911822464048246,10,6,449.49,1962.62,2018177
464,S2B,DSNY,2018219,2.614356235130546,10,6,449.49,1962.62,2018217
465,S2B,DSNY,2018229,2.7327278467516103,10,6,449.49,1962.62,2018225
466,S2B,DSNY,2018259,2.6470310613512993,10,6,449.49,1962.62,2018257
467,S2B,DSNY,2018269,2.5083294002633347,10,6,449.49,1962.62,2018265
468,S2B,DSNY,2018279,2.530429240392179,10,6,449.49,1962.62,2018273
469,S2B,DSNY,2018289,2.4500192944536505,10,6,449.49,1962.62,2018289
470,S2B,DSNY,2018329,1.970785685947963,10,6,449.49,1962.62,2018329
471,S2B,DSNY,2018359,1.8512077503597613,10,6,449.49,1962.62,2018353
600,S2B,OSBS,2018019,1.5648729234933854,10,6,77.22,2099.01,2018017
601,S2B,OSBS,2018049,1.521097264289856,10,6,77.22,2099.01,2018049
602,S2B,OSBS,2018119,2.207114886045456,10,6,77.22,2099.01,2018113
603,S2B,OSBS,2018129,2.229447127580643,10,6,77.22,2099.01,2018129
604,S2B,OSBS,2018169,2.081531883581825,10,6,77.22,2099.01,2018169
605,S2B,OSBS,2018179,2.188188890014032,10,6,77.22,2099.01,2018177
606,S2B,OSBS,2018219,2.1111473295153402,10,6,77.22,2099.01,2018217
607,S2B,OSBS,2018229,2.2411523962020876,10,6,77.22,2099.01,2018225
608,S2B,OSBS,2018239,2.2842222843118893,10,6,77.22,2099.01,2018233
609,S2B,OSBS,2018249,2.1866763221320284,10,6,77.22,2099.01,2018249
610,S2B,OSBS,2018269,2.1923774546319312,10,6,77.22,2099.01,2018265
611,S2B,OSBS,2018279,2.2125496888160705,10,6,77.22,2099.01,2018273
612,S2B,OSBS,2018289,2.1618266785144806,10,6,77.22,2099.01,2018289
613,S2B,OSBS,2018359,1.782486002445221,10,6,77.22,2099.01,2018353
