,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
9,L08,CPER,2018146,0.5094502255320549,10,4,2203.77,173.89,2018145
10,L08,CPER,2018155,0.5682702738046647,10,4,2203.77,173.89,2018153
11,L08,CPER,2018162,0.36435507476329804,10,4,2203.77,173.89,2018161
12,L08,CPER,2018171,0.564785870462656,10,4,2203.77,173.89,2018169
104,L08,STER,2018164,0.7402456539626024,10,4,2288.63,386.25,2018161
105,L08,STER,2018180,0.6163816596522476,10,4,2288.63,386.25,2018177
106,L08,STER,2018212,0.7017809097468853,10,4,2288.63,386.25,2018209
107,L08,STER,2018228,0.6274948366964707,10,4,2288.63,386.25,2018225
108,L08,STER,2018260,0.06887546573814593,10,4,2288.63,386.25,2018257
143,S2A,CPER,2018137,0.09681882534176112,10,4,2203.77,173.89,2018137
144,S2A,CPER,2018144,0.13347165718674658,10,4,2203.77,173.89,2018137
145,S2A,CPER,2018147,0.16257405713200568,10,4,2203.77,173.89,2018145
146,S2A,CPER,2018154,0.1456120515242219,10,4,2203.77,173.89,2018153
147,S2A,CPER,2018177,0.04439610122430204,10,4,2203.77,173.89,2018177
370,S2A,STER,2018144,0.45566652120636186,10,4,2288.63,386.25,2018137
371,S2A,STER,2018214,0.4395361282311532,10,4,2288.63,386.25,2018209
372,S2A,STER,2018224,0.3513943840979889,10,4,2288.63,386.25,2018217
373,S2A,STER,2018254,0.15513050141174622,10,4,2288.63,386.25,2018249
433,S2B,CPER,2018152,0.19649179130792618,10,4,2203.77,173.89,2018145
434,S2B,CPER,2018162,0.06402223287150263,10,4,2203.77,173.89,2018161
435,S2B,CPER,2018172,0.06682888196781278,10,4,2203.77,173.89,2018169
436,S2B,CPER,2018182,0.03268013491469901,10,4,2203.77,173.89,2018177
673,S2B,STER,2018209,0.4412758444297187,10,4,2288.63,386.25,2018209
674,S2B,STER,2018219,0.5191809876110925,10,4,2288.63,386.25,2018217
675,S2B,STER,2018229,0.3343579284597321,10,4,2288.63,386.25,2018225
676,S2B,STER,2018239,0.37850874972165277,10,4,2288.63,386.25,2018233
677,S2B,STER,2018259,0.09630482292688283,10,4,2288.63,386.25,2018257
