,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
327,S2A,SERC,2018031,0.8414230446020762,12,5,265.86,97.75,2018025
328,S2A,SERC,2018121,2.204520273208618,12,5,265.86,97.75,2018121
329,S2A,SERC,2018141,4.835259654521942,12,5,265.86,97.75,2018137
330,S2A,SERC,2018191,5.242361989021301,12,5,265.86,97.75,2018185
331,S2A,SERC,2018221,4.983907706737519,12,5,265.86,97.75,2018217
332,S2A,SERC,2018241,4.532385036945343,12,5,265.86,97.75,2018241
333,S2A,SERC,2018291,3.0703962790966033,12,5,265.86,97.75,2018289
334,S2A,SERC,2018301,1.754660358428955,12,5,265.86,97.75,2018297
626,S2B,SERC,2018026,0.8071164392655895,12,5,265.86,97.75,2018025
627,S2B,SERC,2018116,1.8152864456176758,12,5,265.86,97.75,2018113
628,S2B,SERC,2018146,4.779975781440735,12,5,265.86,97.75,2018145
629,S2B,SERC,2018156,5.30022420167923,12,5,265.86,97.75,2018153
630,S2B,SERC,2018166,5.423895525932312,12,5,265.86,97.75,2018161
631,S2B,SERC,2018186,5.633358974566405,12,5,265.86,97.75,2018185
632,S2B,SERC,2018226,4.992516560554504,12,5,265.86,97.75,2018225
633,S2B,SERC,2018236,4.869704828262329,12,5,265.86,97.75,2018233
634,S2B,SERC,2018246,4.267218093077342,12,5,265.86,97.75,2018241
635,S2B,SERC,2018296,2.7236821007728578,12,5,265.86,97.75,2018289
636,S2B,SERC,2018326,0.961827037365813,12,5,265.86,97.75,2018321
