,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
136,S2A,SERC,2018121,2.204520273208618,12,5,265.86,97.75,2018121
137,S2A,SERC,2018141,4.835259654521942,12,5,265.86,97.75,2018137
138,S2A,SERC,2018191,5.242361989021301,12,5,265.86,97.75,2018185
139,S2A,SERC,2018221,4.983907706737519,12,5,265.86,97.75,2018217
140,S2A,SERC,2018241,4.532385036945343,12,5,265.86,97.75,2018241
141,S2A,SERC,2018291,3.0703962790966037,12,5,265.86,97.75,2018289
261,S2B,SERC,2018146,4.779975781440735,12,5,265.86,97.75,2018145
262,S2B,SERC,2018156,5.30022420167923,12,5,265.86,97.75,2018153
263,S2B,SERC,2018166,5.423895525932312,12,5,265.86,97.75,2018161
264,S2B,SERC,2018226,4.992516560554504,12,5,265.86,97.75,2018225
265,S2B,SERC,2018236,4.869704828262329,12,5,265.86,97.75,2018233
266,S2B,SERC,2018296,2.7236821007728578,12,5,265.86,97.75,2018289
