,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
2,L08,BLAN,2018116,1.1821209680788296,11,5,225.04,2250.38,2018113
3,L08,BLAN,2018132,1.4355694398735508,11,5,225.04,2250.38,2018129
4,L08,BLAN,2018228,1.8546936991926912,11,5,225.04,2250.38,2018225
26,L08,ORNL,2018121,3.244508993625641,11,5,968.11,427.4,2018121
28,L08,SCBI,2018116,1.3354806715250016,11,5,265.2,2203.28,2018113
51,S2A,BLAN,2018144,1.4094669041889054,11,5,225.04,2250.38,2018137
52,S2A,BLAN,2018184,1.590580491643203,11,5,225.04,2250.38,2018177
53,S2A,BLAN,2018194,1.3772054003632588,11,5,225.04,2250.38,2018193
54,S2A,BLAN,2018264,1.113280060339947,11,5,225.04,2250.38,2018257
55,S2A,BLAN,2018274,1.046111974985369,11,5,225.04,2250.38,2018273
121,S2A,ORNL,2018110,1.9662945568561556,11,5,968.11,427.4,2018105
122,S2A,ORNL,2018120,3.093873416185379,11,5,968.11,427.4,2018113
123,S2A,ORNL,2018160,4.916662375926972,11,5,968.11,427.4,2018153
124,S2A,ORNL,2018180,4.409886736042646,11,5,968.11,427.4,2018177
125,S2A,ORNL,2018240,3.838773069959698,11,5,968.11,427.4,2018233
126,S2A,ORNL,2018250,3.815525647997856,11,5,968.11,427.4,2018249
127,S2A,ORNL,2018280,3.078914247751236,11,5,968.11,427.4,2018273
128,S2A,ORNL,2018290,3.187769812345505,11,5,968.11,427.4,2018289
132,S2A,SCBI,2018124,2.334295071363449,11,5,265.2,2203.28,2018121
133,S2A,SCBI,2018144,5.137124552726745,11,5,265.2,2203.28,2018137
134,S2A,SCBI,2018184,5.550319893191559,11,5,265.2,2203.28,2018177
135,S2A,SCBI,2018194,5.420653473247182,11,5,265.2,2203.28,2018193
176,S2B,BLAN,2018129,1.0068544331671936,11,5,225.04,2250.38,2018129
177,S2B,BLAN,2018169,1.308548293819156,11,5,225.04,2250.38,2018169
178,S2B,BLAN,2018189,1.503908315842802,11,5,225.04,2250.38,2018185
179,S2B,BLAN,2018239,1.7214184441874103,11,5,225.04,2250.38,2018233
180,S2B,BLAN,2018249,1.6097238930977054,11,5,225.04,2250.38,2018249
181,S2B,BLAN,2018279,0.9395224911753428,11,5,225.04,2250.38,2018273
247,S2B,ORNL,2018155,5.132423069477081,11,5,968.11,427.4,2018153
248,S2B,ORNL,2018175,5.0345365025780415,11,5,968.11,427.4,2018169
249,S2B,ORNL,2018185,4.611433225870132,11,5,968.11,427.4,2018185
250,S2B,ORNL,2018235,4.258370425701141,11,5,968.11,427.4,2018233
251,S2B,ORNL,2018245,3.979160301685333,11,5,968.11,427.4,2018241
252,S2B,ORNL,2018265,3.286889656186104,11,5,968.11,427.4,2018265
253,S2B,ORNL,2018285,3.2661118364334105,11,5,968.11,427.4,2018281
255,S2B,SCBI,2018129,3.303200626373291,11,5,265.2,2203.28,2018129
256,S2B,SCBI,2018169,5.4794790311293164,11,5,265.2,2203.28,2018169
257,S2B,SCBI,2018189,5.696774961972477,11,5,265.2,2203.28,2018185
258,S2B,SCBI,2018229,4.047641305923462,11,5,265.2,2203.28,2018225
259,S2B,SCBI,2018239,4.468200211524963,11,5,265.2,2203.28,2018233
260,S2B,SCBI,2018249,4.437315857410431,11,5,265.2,2203.28,2018249
