,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
0,L08,BART,2018127,1.7207881247997283,12,4,1424.16,2105.61,2018121
1,L08,BART,2018136,2.6206019949913024,12,4,1424.16,2105.61,2018129
2,L08,BART,2018143,3.9492603182792663,12,4,1424.16,2105.61,2018137
33,L08,HARV,2018111,0.9813139992952347,12,4,1790.43,1636.72,2018105
34,L08,HARV,2018127,1.8455136454105376,12,4,1790.43,1636.72,2018121
123,S2A,BART,2018128,2.1720535469055178,12,4,1424.16,2105.61,2018121
124,S2A,BART,2018138,3.2194327631512203,12,4,1424.16,2105.61,2018137
125,S2A,BART,2018168,4.821408758163452,12,4,1424.16,2105.61,2018161
126,S2A,BART,2018188,5.148517293930054,12,4,1424.16,2105.61,2018185
127,S2A,BART,2018218,4.750740346908569,12,4,1424.16,2105.61,2018217
128,S2A,BART,2018228,4.688187944889068,12,4,1424.16,2105.61,2018225
129,S2A,BART,2018238,4.497509500980377,12,4,1424.16,2105.61,2018233
130,S2A,BART,2018248,4.3461113452911375,12,4,1424.16,2105.61,2018241
131,S2A,BART,2018278,3.4096338105201722,12,4,1424.16,2105.61,2018273
200,S2A,HARV,2018058,1.4567440009117127,12,4,1790.43,1636.72,2018057
201,S2A,HARV,2018118,1.605945903321971,12,4,1790.43,1636.72,2018113
202,S2A,HARV,2018128,1.9571822107452708,12,4,1790.43,1636.72,2018121
203,S2A,HARV,2018168,5.483364613056183,12,4,1790.43,1636.72,2018161
204,S2A,HARV,2018188,5.661904280185699,12,4,1790.43,1636.72,2018185
205,S2A,HARV,2018208,5.245552506446838,12,4,1790.43,1636.72,2018201
206,S2A,HARV,2018218,5.111259770393372,12,4,1790.43,1636.72,2018217
207,S2A,HARV,2018238,4.705632581710815,12,4,1790.43,1636.72,2018233
208,S2A,HARV,2018248,4.629342615604401,12,4,1790.43,1636.72,2018241
209,S2A,HARV,2018278,3.858628444671631,12,4,1790.43,1636.72,2018273
210,S2A,HARV,2018308,1.707568130493164,12,4,1790.43,1636.72,2018305
211,S2A,HARV,2018318,1.4392619514465332,12,4,1790.43,1636.72,2018313
417,S2B,BART,2018133,2.672581032514572,12,4,1424.16,2105.61,2018129
418,S2B,BART,2018143,3.7443314599990845,12,4,1424.16,2105.61,2018137
419,S2B,BART,2018173,5.017772796154023,12,4,1424.16,2105.61,2018169
420,S2B,BART,2018223,3.9400682804432323,12,4,1424.16,2105.61,2018217
421,S2B,BART,2018283,2.654184454679489,12,4,1424.16,2105.61,2018281
495,S2B,HARV,2018113,1.6911133565400776,12,4,1790.43,1636.72,2018113
496,S2B,HARV,2018133,2.130348368237416,12,4,1790.43,1636.72,2018129
497,S2B,HARV,2018143,3.855516355037689,12,4,1790.43,1636.72,2018137
498,S2B,HARV,2018163,5.060558128924597,12,4,1790.43,1636.72,2018161
499,S2B,HARV,2018173,5.52786736916273,12,4,1790.43,1636.72,2018169
500,S2B,HARV,2018183,5.421200134754181,12,4,1790.43,1636.72,2018177
501,S2B,HARV,2018193,5.675416662693023,12,4,1790.43,1636.72,2018193
502,S2B,HARV,2018243,4.453412279005973,12,4,1790.43,1636.72,2018241
503,S2B,HARV,2018273,3.2601455100859056,12,4,1790.43,1636.72,2018273
504,S2B,HARV,2018283,2.6851865176073053,12,4,1790.43,1636.72,2018281
505,S2B,HARV,2018363,1.3143471882800863,12,4,1790.43,1636.72,2018361
